date,country,soe,arrivals,arrivals_male,arrivals_female
2020-01-01,ABW,Kedah,0,0,0
2020-01-01,ABW,Pulau Pinang,0,0,0
2020-01-01,AFG,Johor,2,0,2
2020-01-01,AFG,Kedah,1,1,0
2020-01-01,AFG,Perlis,0,0,0
2020-01-01,AFG,Pulau Pinang,0,0,0
2020-01-01,AFG,Sarawak,0,0,0
2020-01-01,AFG,Selangor,180,161,19
2020-01-01,AGO,Johor,0,0,0
2020-01-01,AGO,Kedah,0,0,0
2020-01-01,AGO,Sabah,0,0,0
2020-01-01,AGO,Selangor,9,6,3
2020-01-01,AIA,Selangor,0,0,0
2020-01-01,ALB,Johor,35,17,18
2020-01-01,ALB,Kedah,6,4,2
2020-01-01,ALB,Perak,1,1,0
2020-01-01,ALB,Perlis,1,1,0
2020-01-01,ALB,Pulau Pinang,2,0,2
2020-01-01,ALB,Sabah,1,1,0
2020-01-01,ALB,Sarawak,1,1,0
2020-01-01,ALB,Selangor,62,31,31
2020-01-01,AND,Johor,0,0,0
2020-01-01,AND,Kedah,0,0,0
2020-01-01,AND,Perlis,0,0,0
2020-01-01,AND,Pulau Pinang,0,0,0
2020-01-01,AND,Selangor,5,3,2
2020-01-01,ANT,Selangor,0,0,0
2020-01-01,ARE,Johor,22,14,8
2020-01-01,ARE,Kedah,4,3,1
2020-01-01,ARE,Kelantan,0,0,0
2020-01-01,ARE,Perak,0,0,0
2020-01-01,ARE,Perlis,0,0,0
2020-01-01,ARE,Pulau Pinang,4,3,1
2020-01-01,ARE,Sabah,0,0,0
2020-01-01,ARE,Sarawak,0,0,0
2020-01-01,ARE,Selangor,371,252,119
2020-01-01,ARG,Johor,221,133,88
2020-01-01,ARG,Kedah,304,148,156
2020-01-01,ARG,Kelantan,5,2,3
2020-01-01,ARG,Melaka,0,0,0
2020-01-01,ARG,Perak,0,0,0
2020-01-01,ARG,Perlis,20,11,9
2020-01-01,ARG,Pulau Pinang,5,2,3
2020-01-01,ARG,Sabah,3,1,2
2020-01-01,ARG,Sarawak,1,1,0
2020-01-01,ARG,Selangor,908,464,444
2020-01-01,ARG,W.P. Labuan,0,0,0
2020-01-01,ARM,Johor,5,2,3
2020-01-01,ARM,Kedah,3,1,2
2020-01-01,ARM,Kelantan,1,1,0
2020-01-01,ARM,Perak,2,0,2
2020-01-01,ARM,Perlis,0,0,0
2020-01-01,ARM,Pulau Pinang,1,1,0
2020-01-01,ARM,Sabah,0,0,0
2020-01-01,ARM,Sarawak,0,0,0
2020-01-01,ARM,Selangor,79,22,57
2020-01-01,ATA,Selangor,0,0,0
2020-01-01,ATG,Johor,6,3,3
2020-01-01,ATG,Kedah,0,0,0
2020-01-01,ATG,Pulau Pinang,0,0,0
2020-01-01,ATG,Sarawak,0,0,0
2020-01-01,ATG,Selangor,22,12,10
2020-01-01,AUS,Johor,8923,4980,3943
2020-01-01,AUS,Kedah,1138,636,502
2020-01-01,AUS,Kelantan,21,15,6
