"date","nationality","state","arrivals","year","country","continent","latitude","longitude"
2020-01-01,"AFG","Johor",2,"2020","Afghanistan","Asia",1.527549,103.745476
2020-01-01,"AFG","Kedah",1,"2020","Afghanistan","Asia",6.155672,100.569649
2020-01-01,"AFG","Selangor",180,"2020","Afghanistan","Asia",3.072751,101.423454
2020-01-01,"AGO","Selangor",9,"2020","Angola","Africa",3.072751,101.423454
2020-01-01,"ALB","Johor",35,"2020","Albania","Europe",1.527549,103.745476
2020-01-01,"ALB","Kedah",6,"2020","Albania","Europe",6.155672,100.569649
2020-01-01,"ALB","Perak",1,"2020","Albania","Europe",4.69395,101.117577
2020-01-01,"ALB","Perlis",1,"2020","Albania","Europe",6.443589,100.216599
2020-01-01,"ALB","Pulau Pinang",2,"2020","Albania","Europe",5.285153,100.456238
2020-01-01,"ALB","Sabah",1,"2020","Albania","Europe",5.420404,116.796783
2020-01-01,"ALB","Sarawak",1,"2020","Albania","Europe",1.5575,110.3439
2020-01-01,"ALB","Selangor",62,"2020","Albania","Europe",3.072751,101.423454
2020-01-01,"AND","Selangor",5,"2020","Andorra","Europe",3.072751,101.423454
2020-01-01,"ARE","Johor",22,"2020","United Arab Emirates","Asia",1.527549,103.745476
2020-01-01,"ARE","Kedah",4,"2020","United Arab Emirates","Asia",6.155672,100.569649
2020-01-01,"ARE","Pulau Pinang",4,"2020","United Arab Emirates","Asia",5.285153,100.456238
2020-01-01,"ARE","Selangor",371,"2020","United Arab Emirates","Asia",3.072751,101.423454
2020-01-01,"ARG","Johor",221,"2020","Argentina","South America",1.527549,103.745476
2020-01-01,"ARG","Kedah",304,"2020","Argentina","South America",6.155672,100.569649
2020-01-01,"ARG","Kelantan",5,"2020","Argentina","South America",6.125397,102.238068
2020-01-01,"ARG","Perlis",20,"2020","Argentina","South America",6.443589,100.216599
2020-01-01,"ARG","Pulau Pinang",5,"2020","Argentina","South America",5.285153,100.456238
2020-01-01,"ARG","Sabah",3,"2020","Argentina","South America",5.420404,116.796783
2020-01-01,"ARG","Sarawak",1,"2020","Argentina","South America",1.5575,110.3439
2020-01-01,"ARG","Selangor",908,"2020","Argentina","South America",3.072751,101.423454
2020-01-01,"ARM","Johor",5,"2020","Armenia","Asia",1.527549,103.745476
